Core Time,CPU Utilization,Thread Count,RAM Utilization (%),RAM Utilization (MB)
195.0,4.4,3,32.6,21289.53125
196.0,3.6,3,32.6,21292.93359375
197.0,3.6,3,32.5,21237.91796875
198.0,4.9,3,32.5,21232.80859375
199.0,4.2,3,32.5,21233.62109375
200.0,3.8,3,32.5,21236.1953125
201.0,5.4,3,32.5,21233.90625
202.0,4.5,3,32.5,21234.671875
203.0,4.7,3,32.5,21257.109375
204.0,3.4,3,32.5,21255.91796875
205.0,4.5,3,32.5,21232.1640625
206.0,3.9,3,32.5,21263.96875
207.0,5.1,3,32.5,21238.74609375
208.0,3.9,3,32.5,21242.60546875
209.0,4.1,3,32.5,21235.7265625
210.0,4.5,3,32.5,21234.67578125
211.0,3.9,3,32.5,21232.17578125
212.0,4.8,3,32.6,21290.12890625
213.0,5.4,3,32.6,21297.68359375
214.0,15.9,3,32.3,21131.21875
215.0,1.5,3,32.4,21206.421875
216.0,0.5,3,32.4,21188.1640625
217.0,0.5,3,32.5,21225.125
218.0,3.3,3,32.6,21336.0625
