[0] NVIDIA A30 | 47°C,  ?? %,  98 % (E:   0 %  D:   0 %),  172 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 45°C,  ?? %,  98 % (E:   0 %  D:   0 %),  138 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 47°C,  ?? %,  95 % (E:   0 %  D:   0 %),  161 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 45°C,  ?? %,  98 % (E:   0 %  D:   0 %),  165 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 47°C,  ?? %,  98 % (E:   0 %  D:   0 %),  170 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 45°C,  ?? %,  98 % (E:   0 %  D:   0 %),  152 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 46°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  142 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 46°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  184 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 46°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 47°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 47°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  172 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  161 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
