Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:17:25 PM 502817004 501011156  24697068      4.68        24  10185336 146553608     27.35   2746120  14380900         0
11:17:27 PM 502830048 501024264  24684024      4.68        24  10166184 146682392     27.37   2746112  14367332         0
11:17:29 PM 502826104 501020384  24687968      4.68        24  10166244 146735344     27.38   2746128  14371236         0
11:17:31 PM 502820992 501015244  24693080      4.68        24  10166184 146660284     27.37   2746128  14376888         0
11:17:33 PM 502798196 500992448  24715876      4.69        24  10165740 146649020     27.36   2746128  14399588         0
11:17:35 PM 502791576 500985808  24722496      4.69        24  10166184 146699764     27.37   2746120  14405820         0
11:17:37 PM 502787836 500982120  24726236      4.69        24  10166184 146686612     27.37   2746128  14409832         0
11:17:39 PM 502729752 500924000  24784320      4.70        24  10181544 146613932     27.36   2762232  14453132         0
11:17:41 PM 502740372 500934624  24773700      4.70        24  10166184 146678324     27.37   2746128  14456724         0
11:17:43 PM 502736316 500930600  24777756      4.70        24  10166184 146531504     27.34   2746120  14460212         0
11:17:45 PM 502732548 500926788  24781524      4.70        24  10166184 146660288     27.37   2746112  14465028         0
11:17:47 PM 502727732 500922040  24786340      4.70        24  10166244 146594000     27.35   2746152  14469692         0
11:17:49 PM 502768744 500962992  24745328      4.69        24  10180296 146594000     27.35   2746112  14428796         0
11:17:51 PM 502758020 500952336  24756052      4.69        24  10166244 146722784     27.38   2746144  14439636         0
11:17:53 PM 502754632 500949016  24759440      4.69        24  10166184 146678840     27.37   2746104  14442836         0
11:17:55 PM 502778696 500972952  24735376      4.69        24  10166124 146677536     27.37   2746116  14419432         0
11:17:57 PM 502768988 500963248  24745084      4.69        24  10166244 146677536     27.37   2746152  14428468         0
11:17:59 PM 502727264 500921540  24786808      4.70        24  10200960 146667832     27.37   2746136  14470572         0
11:18:01 PM 502738456 500932768  24775616      4.70        24  10185396 146597752     27.36   2746116  14459160         0
11:18:03 PM 502754624 500948940  24759448      4.69        24  10166184 146579312     27.35   2746144  14442820         0
11:18:05 PM 502752496 500946820  24761576      4.69        24  10166244 146569972     27.35   2746136  14445248         0
11:18:07 PM 502731980 500926312  24782092      4.70        24  10181868 146569972     27.35   2746144  14465672         0
