[1] NVIDIA A30 | 40°C,  ?? %,  96 % (E:   0 %  D:   0 %),  158 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  133 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 41°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  159 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 41°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 47°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 41°C,  ?? %,  96 % (E:   0 %  D:   0 %),  152 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 47°C,  ?? %,  96 % (E:   0 %  D:   0 %),  165 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 42°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  158 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 42°C,  ?? %,  96 % (E:   0 %  D:   0 %),  151 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 48°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 42°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 49°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  159 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 43°C,  ?? %,  96 % (E:   0 %  D:   0 %),  172 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 50°C,  ?? %,  96 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 44°C,  ?? %,  96 % (E:   0 %  D:   0 %),  137 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 50°C,  ?? %,  96 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 44°C,  ?? %,  96 % (E:   0 %  D:   0 %),  162 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 44°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 50°C,  ?? %,  96 % (E:   0 %  D:   0 %),  165 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 45°C,  ?? %,  96 % (E:   0 %  D:   0 %),  170 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 50°C,  ?? %,  95 % (E:   0 %  D:   0 %),  158 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
