[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  24 % (E:   0 %  D:   0 %),   65 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  28 % (E:   0 %  D:   0 %),   81 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  32 % (E:   0 %  D:   0 %),   55 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  33 % (E:   0 %  D:   0 %),   97 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  31 % (E:   0 %  D:   0 %),  120 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  45 % (E:   0 %  D:   0 %),   34 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  50 % (E:   0 %  D:   0 %),   66 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  34 % (E:   0 %  D:   0 %),   54 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  29 % (E:   0 %  D:   0 %),   48 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  34 % (E:   0 %  D:   0 %),   66 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  31 % (E:   0 %  D:   0 %),   44 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  38 % (E:   0 %  D:   0 %),   39 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  24 % (E:   0 %  D:   0 %),   55 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  28 % (E:   0 %  D:   0 %),  127 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  36 % (E:   0 %  D:   0 %),   56 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  23 % (E:   0 %  D:   0 %),  132 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  50 % (E:   0 %  D:   0 %),   72 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  52 % (E:   0 %  D:   0 %),   48 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  34 % (E:   0 %  D:   0 %),  116 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  50 % (E:   0 %  D:   0 %),   63 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  31 % (E:   0 %  D:   0 %),   61 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  47 % (E:   0 %  D:   0 %),   50 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  30 % (E:   0 %  D:   0 %),  130 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  36 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  58 % (E:   0 %  D:   0 %),   86 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  34 % (E:   0 %  D:   0 %),   81 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  22 % (E:   0 %  D:   0 %),   80 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  24 % (E:   0 %  D:   0 %),   67 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  22 % (E:   0 %  D:   0 %),   43 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  23 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  30 % (E:   0 %  D:   0 %),   47 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  41 % (E:   0 %  D:   0 %),   99 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  18 % (E:   0 %  D:   0 %),   41 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  27 % (E:   0 %  D:   0 %),   45 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  30 % (E:   0 %  D:   0 %),   66 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 35°C,  ?? %,  70 % (E:   0 %  D:   0 %),  125 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  11 % (E:   0 %  D:   0 %),   38 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  49 % (E:   0 %  D:   0 %),   80 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  54 % (E:   0 %  D:   0 %),   51 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  20 % (E:   0 %  D:   0 %),   64 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  36 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  13 % (E:   0 %  D:   0 %),   70 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  21 % (E:   0 %  D:   0 %),   47 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  21 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  39 % (E:   0 %  D:   0 %),  125 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  21 % (E:   0 %  D:   0 %),   96 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 35°C,  ?? %,  37 % (E:   0 %  D:   0 %),  138 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
