Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:00:23 PM     all     10.25      0.00      1.59      0.00      0.00     88.16
12:00:25 PM     all     10.22      0.00      1.44      0.00      0.00     88.34
12:00:27 PM     all     10.38      0.00      1.52      0.00      0.00     88.11
12:00:29 PM     all     10.87      0.00      1.75      0.00      0.00     87.38
12:00:31 PM     all     10.02      0.00      1.38      0.00      0.00     88.60
12:00:33 PM     all     10.24      0.00      1.44      0.00      0.00     88.32
12:00:35 PM     all     10.50      0.00      2.19      0.00      0.00     87.31
12:00:37 PM     all     11.96      0.00      3.31      0.00      0.00     84.73
12:00:39 PM     all     11.06      0.00      1.88      0.00      0.00     87.07
12:00:41 PM     all     10.17      0.00      1.53      0.00      0.00     88.30
12:00:43 PM     all     10.29      0.00      1.55      0.00      0.00     88.16
12:00:45 PM     all     10.44      0.00      1.71      0.00      0.00     87.85
12:00:47 PM     all     10.22      0.00      1.33      0.00      0.00     88.45
12:00:49 PM     all     10.97      0.00      1.77      0.00      0.00     87.26
12:00:51 PM     all     10.02      0.00      1.28      0.00      0.00     88.70
12:00:53 PM     all     10.11      0.00      1.57      0.00      0.00     88.32
12:00:55 PM     all     10.29      0.00      1.66      0.00      0.00     88.05
12:00:57 PM     all     10.42      0.00      1.56      0.00      0.00     88.01
12:00:59 PM     all     10.69      0.00      1.52      0.00      0.00     87.80
12:01:01 PM     all     10.18      0.00      1.64      0.00      0.00     88.18
12:01:03 PM     all     10.26      0.00      1.58      0.00      0.00     88.16
12:01:05 PM     all     10.05      0.00      1.41      0.00      0.00     88.54
12:01:07 PM     all     10.25      0.00      1.79      0.00      0.00     87.96
12:01:09 PM     all     10.86      0.00      1.50      0.00      0.00     87.64
12:01:11 PM     all     10.12      0.00      1.56      0.00      0.00     88.31
12:01:13 PM     all     10.19      0.00      1.46      0.00      0.00     88.35
12:01:15 PM     all     10.77      0.00      1.53      0.00      0.00     87.70
12:01:17 PM     all     10.19      0.00      1.74      0.00      0.00     88.07
12:01:19 PM     all     10.03      0.00      1.44      0.00      0.00     88.53
12:01:21 PM     all     10.20      0.00      1.60      0.00      0.00     88.20
12:01:23 PM     all     10.24      0.00      1.42      0.00      0.00     88.33
12:01:25 PM     all      9.97      0.00      1.27      0.00      0.00     88.76
