Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:59:17 AM 494508000 495607108  33006072      6.26        24  14263572  71536400     13.35   3559624  21313200         0
11:59:19 AM 494539984 495639056  32974088      6.25        24  14226076  71708236     13.38   3559620  21281728         0
11:59:21 AM 494534480 495633616  32979592      6.25        24  14226416  71643692     13.37   3559604  21287244         0
11:59:23 AM 494489012 495588140  33025060      6.26        24  14263716  71611668     13.36   3559716  21331288         0
11:59:25 AM 494523072 495622000  32991000      6.25        24  14226252  71490364     13.34   3559612  21298644         0
11:59:27 AM 494477308 495576280  33036764      6.26        24  14263720  71507732     13.34   3559616  21343864         0
11:59:29 AM 494507384 495606364  33006688      6.26        24  14226256  71657264     13.37   3559604  21313596         0
11:59:31 AM 494503320 495602196  33010752      6.26        24  14226428  71409596     13.33   3559604  21318492         0
11:59:33 AM 494461172 495559960  33052900      6.27        24  14263188  71583324     13.36   3559448  21360092         0
11:59:35 AM 494491908 495590652  33022164      6.26        24  14225880  71582660     13.36   3559388  21329164         0
11:59:37 AM 494448148 495547012  33065924      6.27        24  14263520  71495548     13.34   3559396  21373252         0
11:59:39 AM 494481028 495579676  33033044      6.26        24  14226056  71426960     13.33   3559404  21341136         0
11:59:41 AM 494473892 495572624  33040180      6.26        24  14226184  71578116     13.36   3559384  21347416         0
11:59:43 AM 494444896 495543556  33069176      6.27        24  14250536  71538148     13.35   3559364  21376668         0
11:59:45 AM 494463000 495561684  33051072      6.27        24  14225796  71548704     13.35   3559308  21358752         0
11:59:47 AM 494420352 495518940  33093720      6.27        24  14263432  71713736     13.38   3559316  21401360         0
11:59:49 AM 494451656 495550184  33062416      6.27        24  14225796  71596424     13.36   3559316  21369880         0
11:59:51 AM 494447016 495545556  33067056      6.27        24  14225680  71565280     13.35   3559184  21374584         0
11:59:53 AM 494417940 495516496  33096132      6.27        24  14248532  71668076     13.37   3559216  21403352         0
11:59:55 AM 494437240 495535668  33076832      6.27        24  14225980  71537640     13.35   3559156  21384712         0
11:59:57 AM 494392752 495491244  33121320      6.28        24  14263288  71670736     13.37   3559156  21429164         0
11:59:59 AM 494426232 495524652  33087840      6.27        24  14225992  71501504     13.34   3559156  21395820         0
12:00:01 PM 494419684 495518152  33094388      6.27        24  14225988  71611020     13.36   3559152  21402160         0
12:00:03 PM 494381644 495480064  33132428      6.28        24  14254548  71757580     13.39   3559192  21439888         0
12:00:05 PM 494407556 495505872  33106516      6.28        24  14225640  71712336     13.38   3559152  21414232         0
12:00:07 PM 494363600 495462052  33150472      6.28        24  14263284  71631084     13.37   3559184  21457652         0
12:00:09 PM 494395032 495493456  33119040      6.28        24  14225596  71609712     13.36   3559108  21426148         0
12:00:11 PM 494388144 495486636  33125928      6.28        24  14225936  71635184     13.37   3559136  21433004         0
12:00:13 PM 494366376 495464480  33147696      6.28        24  14242724  71666264     13.37   3559116  21455188         0
12:00:15 PM 494377720 495476088  33136352      6.28        24  14225596  71656148     13.37   3558956  21443720         0
12:00:17 PM 494335828 495434172  33178244      6.29        24  14263008  71602960     13.36   3558892  21485700         0
12:00:19 PM 494367096 495465388  33146976      6.28        24  14225364  71670340     13.37   3558896  21454352         0
12:00:21 PM 494362248 495460448  33151824      6.28        24  14225536  71688692     13.38   3558876  21459684         0
