[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  47 % (E:   0 %  D:   0 %),  117 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,  17 % (E:   0 %  D:   0 %),   91 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  65 % (E:   0 %  D:   0 %),  170 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  17 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  56 % (E:   0 %  D:   0 %),  176 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  76 % (E:   0 %  D:   0 %),  150 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  68 % (E:   0 %  D:   0 %),  137 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  80 % (E:   0 %  D:   0 %),  173 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,  10 % (E:   0 %  D:   0 %),   88 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  55 % (E:   0 %  D:   0 %),   72 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,  40 % (E:   0 %  D:   0 %),   90 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  81 % (E:   0 %  D:   0 %),  141 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,  36 % (E:   0 %  D:   0 %),   35 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  53 % (E:   0 %  D:   0 %),   64 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,  47 % (E:   0 %  D:   0 %),  101 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  35 % (E:   0 %  D:   0 %),   79 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  37 % (E:   0 %  D:   0 %),   71 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  67 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  38 % (E:   0 %  D:   0 %),  145 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  94 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,  59 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  22 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  44 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  37 % (E:   0 %  D:   0 %),  144 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  65 % (E:   0 %  D:   0 %),   61 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   53 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  49 % (E:   0 %  D:   0 %),  172 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  58 % (E:   0 %  D:   0 %),  157 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   53 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   53 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  76 % (E:   0 %  D:   0 %),   59 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  71 % (E:   0 %  D:   0 %),   85 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   1 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  68 % (E:   0 %  D:   0 %),  126 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  57 % (E:   0 %  D:   0 %),  170 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,  28 % (E:   0 %  D:   0 %),   45 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  31 % (E:   0 %  D:   0 %),  145 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  41 % (E:   0 %  D:   0 %),   82 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  37 % (E:   0 %  D:   0 %),  150 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,  30 % (E:   0 %  D:   0 %),   35 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  67 % (E:   0 %  D:   0 %),  133 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  62 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   53 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   53 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  51 % (E:   0 %  D:   0 %),  165 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  58 % (E:   0 %  D:   0 %),   56 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  68 % (E:   0 %  D:   0 %),  137 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  40 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  41 % (E:   0 %  D:   0 %),   61 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  54 % (E:   0 %  D:   0 %),  174 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  30 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  64 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  31 % (E:   0 %  D:   0 %),   93 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  61 % (E:   0 %  D:   0 %),   69 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  35 % (E:   0 %  D:   0 %),   87 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  44 % (E:   0 %  D:   0 %),  129 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  58 % (E:   0 %  D:   0 %),   55 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   1 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 42°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,  50 % (E:   0 %  D:   0 %),   54 / 165 W | 15589 / 24576 MB | jgong:python/509402(15574M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
