Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:22:54 AM     all     10.21      0.00     38.30      0.00      0.00     51.49
05:22:56 AM     all     10.64      0.00     37.62      0.00      0.00     51.75
05:22:58 AM     all     10.43      0.00     38.29      0.00      0.00     51.28
05:23:00 AM     all     10.52      0.00     37.51      0.00      0.00     51.98
05:23:02 AM     all     10.10      0.00     37.81      0.00      0.00     52.10
05:23:04 AM     all     10.71      0.00     37.28      0.00      0.00     52.01
05:23:06 AM     all     10.80      0.00     37.87      0.00      0.00     51.33
05:23:08 AM     all     10.03      0.00     38.87      0.00      0.00     51.09
05:23:10 AM     all     10.16      0.00     37.81      0.00      0.00     52.03
05:23:12 AM     all     10.71      0.00     37.58      0.00      0.00     51.71
05:23:14 AM     all     10.29      0.00     38.93      0.00      0.00     50.78
05:23:16 AM     all     10.62      0.00     37.84      0.00      0.00     51.54
05:23:18 AM     all     10.61      0.00     37.78      0.00      0.00     51.61
05:23:20 AM     all     10.35      0.00     37.70      0.00      0.00     51.95
05:23:22 AM     all     10.26      0.00     37.14      0.00      0.00     52.60
05:23:24 AM     all     10.73      0.00     36.57      0.00      0.00     52.71
05:23:26 AM     all     10.42      0.00     37.75      0.00      0.00     51.83
05:23:28 AM     all     10.29      0.00     37.91      0.00      0.00     51.80
05:23:30 AM     all     10.57      0.00     37.57      0.00      0.00     51.86
05:23:32 AM     all     10.21      0.00     37.77      0.00      0.00     52.02
05:23:34 AM     all     10.47      0.00     37.90      0.00      0.00     51.63
05:23:36 AM     all     10.48      0.00     37.22      0.00      0.00     52.31
05:23:38 AM     all     10.79      0.00     36.87      0.00      0.00     52.34
05:23:40 AM     all     10.38      0.00     37.40      0.00      0.00     52.22
05:23:42 AM     all     10.51      0.00     37.94      0.00      0.00     51.55
05:23:44 AM     all     10.30      0.00     37.82      0.00      0.00     51.88
05:23:46 AM     all     10.95      0.00     36.98      0.00      0.00     52.07
05:23:48 AM     all      9.92      0.00     38.72      0.00      0.00     51.37
05:23:50 AM     all     10.38      0.00     37.81      0.00      0.00     51.81
05:23:52 AM     all     10.76      0.00     37.45      0.00      0.00     51.79
05:23:54 AM     all     10.39      0.00     38.10      0.00      0.00     51.51
05:23:56 AM     all     10.29      0.00     37.83      0.00      0.00     51.88
05:23:58 AM     all     10.55      0.00     38.10      0.00      0.00     51.34
05:24:00 AM     all     10.59      0.00     37.63      0.00      0.00     51.79
05:24:02 AM     all     10.32      0.00     38.27      0.00      0.00     51.41
05:24:04 AM     all     10.69      0.00     37.80      0.00      0.00     51.51
05:24:06 AM     all     10.62      0.00     37.72      0.00      0.00     51.66
05:24:08 AM     all     10.30      0.00     37.22      0.00      0.00     52.49
05:24:10 AM     all     10.16      0.00     38.04      0.00      0.00     51.80
05:24:12 AM     all     10.70      0.00     37.63      0.00      0.00     51.67
05:24:14 AM     all     10.75      0.00     37.87      0.00      0.00     51.38
05:24:16 AM     all     10.39      0.00     38.05      0.00      0.00     51.56
05:24:18 AM     all     10.52      0.00     38.16      0.00      0.00     51.33
05:24:20 AM     all     10.83      0.00     37.55      0.00      0.00     51.61
05:24:22 AM     all     10.19      0.00     38.25      0.00      0.00     51.56
05:24:24 AM     all     10.23      0.00     37.94      0.00      0.00     51.83
05:24:26 AM     all     10.68      0.00     37.44      0.00      0.00     51.88
05:24:28 AM     all     10.55      0.00     38.44      0.00      0.00     51.01
05:24:30 AM     all     10.26      0.00     38.26      0.00      0.00     51.48
05:24:32 AM     all     10.51      0.00     37.70      0.00      0.00     51.79
05:24:34 AM     all     10.39      0.00     37.41      0.00      0.00     52.20
05:24:36 AM     all     10.40      0.00     38.34      0.00      0.00     51.27
05:24:38 AM     all     10.43      0.00     37.69      0.00      0.00     51.89
05:24:40 AM     all      9.96      0.00     38.61      0.00      0.00     51.43
05:24:42 AM     all     10.65      0.00     38.32      0.00      0.00     51.04
05:24:44 AM     all     10.37      0.00     38.21      0.00      0.00     51.43
05:24:46 AM     all     10.03      0.00     39.10      0.00      0.00     50.86
05:24:48 AM     all     10.25      0.00     38.22      0.00      0.00     51.52
05:24:50 AM     all     10.46      0.00     37.95      0.00      0.00     51.59
05:24:52 AM     all     10.13      0.00     38.35      0.00      0.00     51.53
05:24:54 AM     all     10.36      0.00     37.32      0.00      0.00     52.33
05:24:56 AM     all     10.50      0.00     37.69      0.00      0.00     51.81
05:24:58 AM     all     10.74      0.00     37.60      0.00      0.00     51.66
05:25:00 AM     all     10.18      0.00     38.21      0.00      0.00     51.60
