Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
05:22:34 AM 1021477512 1018497088  34802664      3.29        24  14761000 216002528     20.29   3219696  22810704         0
05:22:36 AM 1021555888 1018575384  34724288      3.29        24  14751596 215956300     20.28   3219204  22733216         0
05:22:38 AM 1021550264 1018569752  34729912      3.29        24  14751572 216022800     20.29   3219200  22738968         0
05:22:40 AM 1021543484 1018563020  34736692      3.29        24  14751572 215974152     20.29   3219208  22745884         0
05:22:42 AM 1021312904 1018332456  34967272      3.31        24  14819108 216152244     20.30   3219208  22975228         0
05:22:44 AM 1021521612 1018541148  34758564      3.29        24  14751572 216010472     20.29   3219200  22766844         0
05:22:46 AM 1021511844 1018531380  34768332      3.29        24  14751580 216040176     20.29   3219288  22776924         0
05:22:48 AM 1021247840 1018267392  35032336      3.32        24  14854316 216231036     20.31   3219296  23040360         0
05:22:50 AM 1021421248 1018440656  34858928      3.30        24  14828188 216322032     20.32   3219296  22866956         0
05:22:52 AM 1021363004 1018382460  34917172      3.31        24  14801980 216336264     20.32   3219288  22924964         0
05:22:54 AM 1021484116 1018503660  34796060      3.29        24  14751580 216236592     20.31   3219284  22804064         0
05:22:56 AM 1021474688 1018494184  34805488      3.30        24  14751580 216067168     20.29   3219276  22813352         0
05:22:58 AM 1021337504 1018356920  34942672      3.31        24  14807524 216101504     20.30   3219284  22951372         0
05:23:00 AM 1021466592 1018486056  34813584      3.30        24  14751580 216035932     20.29   3219276  22822244         0
05:23:02 AM 1021304724 1018324380  34975452      3.31        24  14905228 216140384     20.30   3219324  22983652         0
05:23:04 AM 1021374128 1018393576  34906048      3.30        24  14828188 216138992     20.30   3219276  22915052         0
05:23:06 AM 1021445108 1018464748  34835068      3.30        24  14751580 216003540     20.29   3219292  22843684         0
05:23:08 AM 1021440680 1018460288  34839496      3.30        24  14751580 215972784     20.29   3219284  22847768         0
05:23:10 AM 1021292748 1018312292  34987428      3.31        24  14815592 216170304     20.30   3219276  22995348         0
05:23:12 AM 1021428616 1018448128  34851560      3.30        24  14751584 216132500     20.30   3219284  22860020         0
05:23:14 AM 1021278920 1018298480  35001256      3.31        24  14819120 216253876     20.31   3219284  23008772         0
05:23:16 AM 1021419336 1018438904  34860840      3.30        24  14751584 215999888     20.29   3219284  22869868         0
05:23:18 AM 1021414600 1018434144  34865576      3.30        24  14751584 216030808     20.29   3219284  22874828         0
05:23:20 AM 1021407988 1018427564  34872188      3.30        24  14751584 216025460     20.29   3219284  22881520         0
05:23:22 AM 1021401948 1018421628  34878228      3.30        24  14751584 215920200     20.28   3219292  22887484         0
05:23:24 AM 1021396992 1018416648  34883184      3.30        24  14751584 215923780     20.28   3219284  22892604         0
05:23:26 AM 1021249500 1018269172  35030676      3.32        24  14817104 215913008     20.28   3219276  23039640         0
05:23:28 AM 1021386968 1018406656  34893208      3.30        24  14751800 216001848     20.29   3219640  22901832         0
05:23:30 AM 1021383524 1018402996  34896652      3.30        24  14751584 215861936     20.28   3219312  22905804         0
05:23:32 AM 1021378852 1018398372  34901324      3.30        24  14751800 215863484     20.28   3219304  22910356         0
05:23:34 AM 1021320812 1018340300  34959364      3.31        24  14751584 216000492     20.29   3219280  22968552         0
05:23:36 AM 1021294688 1018314112  34985488      3.31        24  14828360 216001124     20.29   3253056  22961200         0
05:23:38 AM 1021367560 1018386912  34912616      3.31        24  14751584 216017460     20.29   3219288  22922196         0
05:23:40 AM 1021362900 1018382332  34917276      3.31        24  14751584 215846140     20.27   3219300  22925912         0
05:23:42 AM 1021359256 1018378712  34920920      3.31        24  14751584 215848588     20.27   3219292  22930296         0
05:23:44 AM 1021355788 1018375172  34924388      3.31        24  14751584 215983248     20.29   3219292  22933544         0
05:23:46 AM 1021350876 1018370196  34929300      3.31        24  14751588 215941360     20.28   3219308  22938000         0
05:23:48 AM 1021348236 1018367556  34931940      3.31        24  14751588 215941360     20.28   3219284  22941180         0
05:23:50 AM 1021250700 1018269988  35029476      3.32        24  14767212 216174680     20.30   3219292  23038276         0
05:23:52 AM 1021338828 1018358252  34941348      3.31        24  14751588 216093148     20.30   3219284  22950308         0
05:23:54 AM 1021335000 1018354424  34945176      3.31        24  14751588 216093148     20.30   3219284  22954072         0
05:23:56 AM 1021077900 1018097348  35202276      3.33        24  14883132 216214308     20.31   3219276  23209732         0
05:23:58 AM 1021281196 1018300644  34998980      3.31        24  14751588 216075052     20.30   3219284  23007260         0
05:24:00 AM 1021322512 1018342056  34957664      3.31        24  14751588 215996304     20.29   3219284  22965828         0
05:24:02 AM 1021318884 1018338428  34961292      3.31        24  14751588 215995684     20.29   3219284  22969904         0
05:24:04 AM 1021314024 1018333584  34966152      3.31        24  14751588 216003484     20.29   3219292  22974512         0
05:24:06 AM 1021307972 1018327580  34972204      3.31        24  14751804 216071464     20.29   3219292  22979036         0
05:24:08 AM 1021305492 1018325020  34974684      3.31        24  14751588 216067392     20.29   3219292  22982624         0
05:24:10 AM 1021148648 1018168296  35131528      3.33        24  14905020 216220968     20.31   3219292  23139676         0
05:24:12 AM 1021298228 1018317732  34981948      3.31        24  14751588 215993460     20.29   3219284  22990400         0
05:24:14 AM 1021293740 1018313268  34986436      3.31        24  14751588 215994036     20.29   3219300  22994840         0
05:24:16 AM 1021236264 1018255680  35043912      3.32        24  14751804 215959576     20.28   3219420  23052124         0
05:24:18 AM 1021219416 1018238680  35060760      3.32        24  14751592 216142712     20.30   3219292  23068580         0
05:24:20 AM 1021281052 1018300364  34999124      3.31        24  14751804 216061732     20.29   3219316  23008084         0
05:24:22 AM 1021277292 1018296596  35002884      3.31        24  14751592 216053364     20.29   3219300  23011036         0
05:24:24 AM 1021196484 1018215892  35083692      3.32        24  14828200 216216484     20.31   3219312  23091400         0
05:24:26 AM 1021270660 1018290180  35009516      3.31        24  14751224 215882568     20.28   3219296  23018116         0
05:24:28 AM 1021266912 1018286352  35013264      3.31        24  14751592 215882568     20.28   3219304  23021656         0
05:24:30 AM 1021261956 1018281412  35018220      3.32        24  14751988 215940808     20.28   3219688  23025860         0
05:24:32 AM 1021259208 1018278656  35020968      3.32        24  14751592 216162592     20.30   3219288  23028848         0
05:24:34 AM 1021254980 1018274388  35025196      3.32        24  14751784 216056156     20.29   3219296  23033156         0
05:24:36 AM 1021117912 1018137320  35162264      3.33        24  14803000 216138868     20.30   3219312  23170520         0
05:24:38 AM 1021249160 1018268632  35031016      3.32        24  14751592 215800344     20.27   3219296  23038992         0
05:24:40 AM 1021148300 1018167752  35131876      3.33        24  14771876 216030464     20.29   3219416  23139360         0
05:24:42 AM 1021241928 1018261340  35038248      3.32        24  14751716 215950480     20.28   3219424  23046604         0
05:24:44 AM 1021104492 1018123896  35175684      3.33        24  14808164 215885316     20.28   3219408  23183504         0
05:24:46 AM 1021236188 1018255568  35043988      3.32        24  14751720 215801584     20.27   3219420  23052844         0
05:24:48 AM 1021231912 1018251228  35048264      3.32        24  14751720 215802164     20.27   3219428  23056352         0
05:24:50 AM 1021111440 1018130804  35168736      3.33        24  14793048 215879540     20.28   3219424  23177104         0
05:24:52 AM 1021225708 1018245144  35054468      3.32        24  14751936 215756592     20.27   3219440  23062592         0
05:24:54 AM 1021223140 1018242576  35057036      3.32        24  14751720 215858476     20.27   3219428  23065368         0
05:24:56 AM 1021177872 1018197372  35102304      3.32        24  14751720 215935360     20.28   3219420  23110156         0
05:24:58 AM 1021187796 1018207152  35092380      3.32        24  14751720 216128164     20.30   3219412  23100104         0
05:25:00 AM 1021211828 1018231232  35068348      3.32        24  14751720 215982408     20.29   3219420  23076384         0
05:25:02 AM 1021056468 1018075888  35223708      3.33        24  14825808 216191808     20.31   3219412  23231072         0
05:25:04 AM 1021204088 1018223524  35076088      3.32        24  14751936 216037428     20.29   3219436  23083104         0
05:25:06 AM 1021203232 1018222668  35076944      3.32        24  14751720 216087804     20.30   3219424  23085672         0
05:25:08 AM 1021198420 1018217856  35081756      3.32        24  14751720 216087804     20.30   3219424  23089592         0
05:25:10 AM 1021194308 1018213856  35085868      3.32        24  14751936 216230476     20.31   3219432  23093000         0
05:25:12 AM 1021190964 1018210336  35089212      3.32        24  14751720 216159244     20.30   3219432  23096900         0
05:25:14 AM 1021188088 1018207460  35092088      3.32        24  14751720 216233128     20.31   3219424  23099932         0
05:25:16 AM 1021152092 1018171464  35128084      3.33        24  14751844 216264740     20.31   3219448  23135608         0
05:25:18 AM 1021180652 1018200272  35099524      3.32        24  14751936 216121820     20.30   3219432  23107100         0
05:25:20 AM 1021177108 1018196728  35103068      3.32        24  14751720 216121820     20.30   3219424  23110204         0
05:25:22 AM 1021174432 1018194076  35105744      3.32        24  14751720 216043716     20.29   3219424  23114408         0
05:25:24 AM 1021112244 1018131864  35167932      3.33        24  14751936 216189848     20.31   3219448  23175124         0
05:25:26 AM 1021167068 1018186656  35113108      3.32        24  14751720 216103244     20.30   3219424  23121116         0
05:25:28 AM 1021162316 1018181920  35117860      3.32        24  14751760 216140640     20.30   3219624  23124708         0
05:25:30 AM 1021150380 1018169824  35129796      3.33        24  14751696 216067676     20.29   3219408  23137832         0
05:25:32 AM 1021156536 1018175972  35123640      3.33        24  14751720 216060264     20.29   3219432  23131740         0
05:25:34 AM 1021085188 1018104544  35194988      3.33        24  14751720 216132804     20.30   3219424  23202952         0
05:25:36 AM 1020876584 1017895956  35403592      3.35        24  14872176 216279156     20.31   3219416  23410880         0
05:25:38 AM 1021144896 1018164188  35135280      3.33        24  14751720 215960500     20.28   3219424  23143268         0
05:25:40 AM 1021142128 1018161412  35138048      3.33        24  14751720 215881384     20.28   3219416  23146052         0
05:25:42 AM 1021137500 1018156752  35142676      3.33        24  14751720 215885108     20.28   3219440  23150776         0
05:25:44 AM 1021134652 1018153924  35145524      3.33        24  14751724 215934540     20.28   3219416  23153360         0
05:25:46 AM 1021131768 1018151160  35148408      3.33        24  14751728 215970680     20.29   3219420  23156660         0
05:25:48 AM 1021127804 1018147196  35152372      3.33        24  14751728 215971332     20.29   3219420  23160044         0
05:25:50 AM 1021122580 1018141972  35157596      3.33        24  14751944 216165288     20.30   3219436  23164964         0
05:25:52 AM 1021119320 1018138824  35160856      3.33        24  14751944 216160904     20.30   3219448  23168236         0
05:25:54 AM 1021117876 1018137292  35162300      3.33        24  14751724 216084676     20.30   3219428  23170424         0
05:25:56 AM 1020814668 1017834244  35465508      3.36        24  14973036 216400280     20.33   3219464  23471976         0
05:25:58 AM 1021109548 1018129100  35170628      3.33        24  14751724 216182228     20.31   3219432  23177716         0
05:26:00 AM 1021108204 1018127668  35171972      3.33        24  14751724 216186404     20.31   3219440  23180308         0
05:26:02 AM 1021104232 1018123696  35175944      3.33        24  14751812 216151284     20.30   3219464  23184832         0
05:26:04 AM 1021022792 1018042008  35257384      3.34        24  14752732 216072168     20.29   3219440  23265884         0
05:26:06 AM 1021098412 1018117556  35181764      3.33        24  14751724 216119472     20.30   3219432  23191320         0
05:26:08 AM 1020973468 1017992668  35306708      3.34        24  14828332 216241244     20.31   3219424  23315240         0
05:26:10 AM 1021090780 1018110340  35189396      3.33        24  14751724 215893736     20.28   3219436  23197784         0
05:26:12 AM 1021087488 1018107128  35192688      3.33        24  14751724 216003688     20.29   3219428  23201040         0
05:26:14 AM 1021084800 1018104456  35195376      3.33        24  14751724 215985472     20.29   3219428  23203672         0
05:26:16 AM 1021081444 1018100948  35198732      3.33        24  14751724 216008996     20.29   3219424  23206436         0
05:26:18 AM 1020931768 1017951272  35348408      3.35        24  14822284 216083364     20.30   3219416  23356344         0
05:26:20 AM 1021076640 1018096192  35203536      3.33        24  14751724 216061604     20.29   3219432  23211664         0
05:26:22 AM 1020792576 1017812240  35487600      3.36        24  14874196 216247252     20.31   3219428  23494516         0
05:26:24 AM 1021070148 1018089748  35210028      3.33        24  14751724 216016156     20.29   3219436  23217976         0
05:26:26 AM 1021040740 1018060372  35239436      3.34        24  14751724 216094916     20.30   3219428  23247424         0
05:26:28 AM 1021065292 1018084892  35214884      3.33        24  14751724 215971368     20.29   3219428  23222944         0
05:26:30 AM 1021061984 1018081472  35218192      3.33        24  14751724 215962568     20.28   3219420  23226680         0
05:26:32 AM 1021057372 1018076860  35222804      3.33        24  14751724 215937628     20.28   3219436  23230844         0
05:26:34 AM 1021055228 1018074644  35224948      3.33        24  14751724 215921928     20.28   3219428  23233404         0
05:26:36 AM 1020974852 1017994268  35305324      3.34        24  14828040 215995008     20.29   3219436  23313536         0
05:26:38 AM 1021050200 1018069584  35229976      3.34        24  14751724 215843808     20.27   3219428  23239288         0
05:26:40 AM 1021046224 1018065608  35233952      3.34        24  14751724 215843808     20.27   3219428  23241844         0
05:26:42 AM 1020979816 1017999176  35300360      3.34        24  14751724 215970484     20.29   3219420  23308548         0
05:26:44 AM 1021040312 1018059664  35239864      3.34        24  14751724 216075568     20.30   3219420  23247536         0
05:26:46 AM 1021037016 1018056352  35243160      3.34        24  14751724 216184192     20.31   3219424  23251032         0
05:26:48 AM 1021035720 1018055064  35244456      3.34        24  14751724 216174420     20.30   3219420  23253320         0
05:26:50 AM 1020773836 1017793316  35506340      3.36        24  14932804 216422152     20.33   3252244  23481620         0
05:26:52 AM 1021030128 1018049304  35250048      3.34        24  14751724 216288260     20.32   3219428  23258856         0
05:26:54 AM 1021019116 1018038344  35261060      3.34        24  14751824 216287908     20.32   3219536  23269648         0
05:26:56 AM 1020906936 1017926084  35373240      3.35        24  14791640 216390868     20.32   3219528  23381284         0
05:26:58 AM 1020943792 1017963132  35336384      3.35        24  14828432 216446412     20.33   3219544  23344540         0
05:27:00 AM 1021018204 1018037568  35261972      3.34        24  14752040 216429492     20.33   3219536  23270252         0
05:27:02 AM 1020997876 1018017184  35282300      3.34        24  14751824 216505080     20.34   3219528  23290848         0
05:27:04 AM 1020818420 1017837904  35461756      3.36        24  14867488 216771628     20.36   3219520  23468808         0
05:27:06 AM 1021010128 1018029740  35270048      3.34        24  14751824 216582816     20.34   3219536  23278796         0
05:27:08 AM 1021007236 1018026848  35272940      3.34        24  14751824 216585384     20.34   3219536  23281596         0
05:27:10 AM 1021004792 1018024372  35275384      3.34        24  14751824 216508512     20.34   3219520  23283652         0
05:27:12 AM 1021001860 1018021528  35278316      3.34        24  14751824 216229220     20.31   3219532  23286952         0
05:27:14 AM 1020922140 1017941808  35358036      3.35        24  14751824 216309588     20.32   3219532  23365848         0
05:27:16 AM 1020994636 1018014264  35285540      3.34        24  14751832 216196292     20.31   3219536  23292152         0
05:27:18 AM 1020927592 1017947180  35352584      3.35        24  14751832 216056996     20.29   3219528  23360468         0
05:27:20 AM 1020990484 1018010136  35289692      3.34        24  14751832 216067448     20.29   3219528  23298208         0
05:27:22 AM 1020987920 1018007572  35292256      3.34        24  14751832 216068072     20.29   3219544  23301116         0
05:27:24 AM 1020985440 1018005100  35294736      3.34        24  14751832 215956880     20.28   3219532  23303456         0
05:27:26 AM 1020981396 1018001048  35298780      3.34        24  14751832 215836468     20.27   3219532  23306252         0
05:27:28 AM 1020978564 1017998232  35301612      3.34        24  14751832 215835352     20.27   3219540  23308976         0
05:27:30 AM 1020974656 1017994388  35305520      3.34        24  14752024 215835168     20.27   3219532  23312944         0
05:27:32 AM 1020971428 1017991000  35308748      3.34        24  14751832 215826092     20.27   3219544  23316272         0
05:27:34 AM 1020854068 1017873640  35426108      3.35        24  14828440 215906600     20.28   3219560  23434008         0
05:27:36 AM 1020889568 1017909144  35390608      3.35        24  14828600 215868888     20.28   3296144  23321312         0
05:27:38 AM 1020717476 1017737180  35562700      3.37        24  14843560 215946236     20.28   3219528  23569432         0
05:27:40 AM 1020959840 1017979408  35320336      3.34        24  14751832 215866236     20.28   3219528  23327532         0
05:27:42 AM 1020881400 1017900912  35398776      3.35        24  14828440 215936764     20.28   3219528  23407040         0
05:27:44 AM 1020955604 1017974996  35324572      3.34        24  14752044 215921628     20.28   3219560  23333004         0
05:27:46 AM 1020951364 1017970900  35328812      3.34        24  14751832 215992604     20.29   3219528  23337788         0
05:27:48 AM 1020945208 1017964792  35334968      3.35        24  14751832 216066280     20.29   3219536  23343496         0
05:27:50 AM 1020943372 1017962956  35336804      3.35        24  14751832 216030172     20.29   3219536  23345752         0
05:27:52 AM 1020939848 1017959456  35340328      3.35        24  14751832 216111232     20.30   3219544  23348452         0
05:27:54 AM 1020815536 1017835144  35464640      3.36        24  14797696 216192120     20.31   3219536  23473916         0
